GEO_COD	Cult_2010	Cult_2011	Cult_2012	Cult_2013	Cult_2014
3541901	0	0	0	0	0
3542008	3343	3416	3393	3468	5888
3542107	8386	8343	8336	8231	8196
3542206	25466	29707	30904	33619	40359
3542305	0	0	0	0	0
3542404	1413	1565	1427	1249	1320
3542503	6105	6156	6252	6922	7609
3542602	0	0	0	0	0
3542701	10219	10191	10281	10218	10371
3542800	0	0	0	0	0
3542909	17242	17425	18144	18304	18737
3543006	0	0	0	0	0
3543105	1983	2104	2145	2145	2215
3543204	3549	3542	3424	3358	3145
3543253	0	0	0	0	0
3543303	0	0	0	0	0
3543402	32486	32227	32080	31759	30895
3543501	0	0	0	0	0
3543600	1530	1640	1620	1544	1898
3543709	17102	17002	17047	16882	17178
3543808	6194	6734	6827	6773	7773
3543907	11749	11633	11610	11614	11403
3544004	14970	14907	14805	14648	14381
3544103	0	0	0	0	0
3544202	15391	16383	16936	18215	20121
3544301	0	0	0	0	0
3544400	9572	9994	9887	9817	9731
3544509	2032	2053	2053	2040	2537
3544608	7249	7136	7028	9169	9135
3544707	4885	4856	4759	4670	4767
3544806	8701	9611	9565	10131	10862
3544905	20251	20181	19996	19578	19887
3545001	0	0	0	0	0
3545100	6515	6544	6559	6554	6615
3545159	3934	3871	3797	3701	3673
3545209	1317	1516	1571	1574	1533
3545308	0	0	0	0	0
3545407	4639	3784	3533	3318	3055
3545605	22083	22128	21892	22238	22303
3545704	836	1177	1594	2643	3554
3545803	16970	16799	16718	16540	16113
3546009	0	0	0	0	0
3546108	0	0	0	0	446
3546207	3988	4013	4221	4179	4481
3546256	6222	6369	6410	6627	6594
3546306	15489	15474	16337	16193	16392
3546405	27692	27578	28549	29150	29276
3546504	10709	10792	10790	10773	10800
3546603	86	141	141	141	188
3546702	6149	5986	5968	5932	5799
3546801	0	0	0	0	0
3546900	10065	9870	9815	9514	9646
3547007	6620	6260	6142	5956	5884
3547205	421	421	729	754	1134
3547304	0	0	0	0	0
3547403	572	726	1091	3855	4351
3547502	17795	17716	18717	19284	20127
3547601	10795	10827	10897	10447	10468
3547650	0	0	0	0	13
3547809	0	0	0	0	0
3547908	2850	2995	3171	2937	3186
3548005	3285	3331	3252	3185	3248
3548054	33930	33247	33924	36233	38313
3548104	0	0	0	0	0
3548203	0	0	0	0	0
3548401	4944	4844	4822	4891	5079
3548500	0	0	0	0	0
3548609	0	0	0	0	0
3548708	0	0	0	0	0
3548807	0	0	0	0	0
3548906	38084	37943	38349	38632	39461
3549003	0	94	552	682	1172
3549102	8311	7923	7829	7829	7810
3549201	945	1580	1883	2313	2601
3549250	6419	6653	6840	6838	7341
3549409	29555	29455	29533	29508	29368
3549508	15080	15165	15187	15085	15095
3549607	0	0	0	0	0
3549706	2890	2928	2929	2895	2792
3549805	6331	6304	6261	6321	6467
3549904	0	0	0	0	0
3549953	0	0	0	0	0
3550001	0	0	0	0	0
3550100	36386	36638	36692	37497	37196
3550209	0	0	0	0	0
3550308	0	0	0	0	0
3550407	12774	12141	11981	12047	12934
3550506	7440	7413	7236	6762	6776
3550605	0	0	0	0	0
3550704	0	0	0	0	0
3550803	782	794	774	761	704
3550902	23493	23085	23648	23579	24577
3551009	0	0	0	0	0
3551108	330	330	330	392	366
3551207	943	943	1089	1029	857
3551306	6881	6874	6850	6776	7195
3551405	16059	16098	15947	15651	15814
3551504	8164	8134	8135	8064	8170
3551603	594	594	587	524	408
3551702	29349	29137	29076	28850	28733
3551801	0	0	0	0	0
3551900	6942	6950	7159	7150	7270
3552007	0	0	0	0	0
3552106	0	0	0	0	0
3552205	1106	1109	1325	1377	1229
3552304	15648	15460	15025	13299	14334
3552403	3103	2893	2506	2334	2230
3552502	0	0	0	0	0
3552551	6832	7006	6768	7328	8693
3552601	18709	19064	19359	18803	19022
3552700	8364	8332	9430	10119	11292
3552809	0	0	0	0	0
3553005	12	12	12	0	0
3553104	5144	5252	5498	5519	5645
3553203	8148	8234	8402	8498	8470
3553302	19844	19189	19390	19151	20262
3553401	17321	18218	19381	21525	24107
3553500	0	0	0	0	0
3553609	3874	3956	3941	3874	3989
3553658	1480	1598	1746	1844	1815
3553708	30836	31062	31879	31864	32779
3553807	3510	3488	3229	2971	3269
3553856	0	0	0	0	0
3553955	22700	22317	22699	22473	22401
3554003	11666	11195	11263	10934	10442
3554102	0	0	0	0	0
3554201	407	407	407	491	347
3554409	16430	16314	16539	16622	17037
3554508	12626	12452	12429	12138	11641
3554607	258	258	258	245	213
3554656	0	0	0	0	0
3554706	9716	9505	9350	9277	8707
3554755	3135	3139	3134	3147	3099
3554805	0	0	0	0	0
3554904	741	826	742	671	1162
3554953	0	0	0	0	0
3555000	7368	7992	9719	11401	11766
3555208	4067	4091	4236	4442	4465
3555307	537	513	1780	2658	3448
3555356	8821	8747	9824	10990	11240
3555406	0	0	0	0	0
3555505	276	276	320	304	311
3555604	13011	12925	13095	13196	13519
3555703	3221	3291	3318	3294	3713
3555802	710	860	1136	1177	2264
3555901	1558	2005	2092	2090	4805
3556008	14807	14858	14775	14975	15231
3556107	2401	2610	2846	3039	3744
3556206	3	3	3	3	3
3556305	44910	48207	47748	49939	52262
3556354	0	0	0	0	0
3556404	6699	6467	6560	6556	6399
3556453	0	0	0	0	0
3556503	0	0	0	0	0
3556602	0	0	0	0	0
3556701	0	0	0	0	0
3556800	16970	17080	17285	17228	17245
3556909	4634	4605	4536	4429	4371
3556958	166	166	365	356	450
3557006	0	0	0	0	0
3557105	7634	7907	8104	8471	10657
3557154	8176	8339	8602	8885	9915
3557204	11818	11995	12064	11940	11665
3557303	1041	1106	1155	1154	1139
3500808	0	0	0	0	0
3501301	66	61	61	0	0
3502101	25416	27911	29800	31800	34373
3502408	6427	7482	7642	7571	7630
3515129	4346	4369	4356	4330	4170
3515806	6718	6684	6781	6813	6737
3517802	12751	13278	15050	15360	17230
3520442	14874	15374	16266	16511	18903
3521606	3209	3401	3608	3772	4400
3523008	9549	10250	10309	10278	10939
3526001	19125	20707	21706	22782	24444
3533205	9480	10265	10789	10718	12081
3539202	19546	20219	20237	20713	20804
3541406	8473	8353	8032	8095	8132
3548302	1715	1715	1698	1552	1519
3552908	15693	16707	18670	18305	20253
